method,hospital,seed,split,roc,pr,mcc,f1p,sens,spec,n,neff,u_mean,u_std
Full_FrameAux03,huaxi,42,val,0.7072879330943848,0.6961832613074326,0.28520199881926267,0.6440677966101694,0.7037037037037037,0.5806451612903226,58,11.996898650438107,0.24011376493706782,0.007495813343542811
Full_FrameAux03,huaxi,42,external,0.55625,0.44842167377801573,0.14414999403128945,0.5517241379310345,1.0,0.05454545454545454,87,11.995695084110858,0.24636554227021462,0.009115464668174754
Full_FrameAux03,huaxi,123,val,0.7252090800477896,0.7189260849591603,0.3434840149394188,0.6875,0.8148148148148148,0.5161290322580645,58,11.997391063035062,0.23745719084366296,0.007077423031725011
Full_FrameAux03,huaxi,123,external,0.55625,0.45719254075051563,0.0,0.5378151260504201,1.0,0.0,87,11.995981867181849,0.2428230785861098,0.008698611883031572
Full_FrameAux03,huaxi,2024,val,0.7192353643966548,0.7184684880660757,0.31660692951015534,0.6551724137931034,0.7037037037037037,0.6129032258064516,58,11.997800648742224,0.22313953261694,0.0065507071808273915
Full_FrameAux03,huaxi,2024,external,0.5880681818181818,0.4846713147830216,0.053636259212403226,0.5391304347826087,0.96875,0.05454545454545454,87,11.998195524697827,0.22355681221032955,0.005950568251135764
Full_FrameAux03,huaxi,3407,val,0.7335722819593787,0.7108441673778989,0.36300570155752676,0.6885245901639344,0.7777777777777778,0.5806451612903226,58,11.99541101297944,0.2324632033277517,0.00921294736391052
Full_FrameAux03,huaxi,3407,external,0.5585227272727272,0.43899104085036633,0.013514061940433385,0.5344827586206896,0.96875,0.03636363636363636,87,11.993380100222765,0.2400410841451065,0.01119064600264861
Full_FrameAux03,huaxi,114514,val,0.7264038231780167,0.7156116484169839,0.31660692951015534,0.6551724137931034,0.7037037037037037,0.6129032258064516,58,11.995749814023954,0.24818817506833324,0.008824540484397143
Full_FrameAux03,huaxi,114514,external,0.5505681818181818,0.4385987887490618,-0.07460614881547928,0.5132743362831859,0.90625,0.05454545454545454,87,11.994371346059019,0.25339998017953724,0.010444779643294076
Full_FrameAux03,liaoning,42,val,0.78328173374613,0.8404571791976059,0.0,0.6909090909090909,1.0,0.0,36,11.997777487065669,0.26945882711421554,0.00632759040454474
Full_FrameAux03,liaoning,42,external,0.5600821636425881,0.3880296800876046,-0.030837770436772015,0.5116279069767442,0.9565217391304348,0.031496062992125984,196,11.997355621075332,0.2701631233628307,0.0067847826615677264
Full_FrameAux03,liaoning,123,val,0.7863777089783281,0.856836362252352,0.4623989755334915,0.6206896551724138,0.47368421052631576,0.9411764705882353,36,11.999050958728258,0.24225128621414851,0.0041120920561107215
Full_FrameAux03,liaoning,123,external,0.5218532466050441,0.35504730764432424,-0.010201991846370719,0.24299065420560748,0.18840579710144928,0.8031496062992126,196,11.99904547339402,0.24253030867651615,0.004157197175020362
Full_FrameAux03,liaoning,2024,val,0.7894736842105263,0.8428262136719036,0.27541131637762184,0.6976744186046512,0.7894736842105263,0.47058823529411764,36,11.99920778057298,0.21755427860275456,0.0037983911585267663
Full_FrameAux03,liaoning,2024,external,0.572977290882118,0.38843335116601924,0.15021063957343406,0.5314009661835749,0.7971014492753623,0.3464566929133858,196,11.999244849569124,0.21747475819421463,0.0037630771576498113
Full_FrameAux03,liaoning,3407,val,0.7647058823529411,0.8365748465991105,-0.1598871782677901,0.6666666666666666,0.9473684210526315,0.0,36,11.998428733828694,0.25020734482893237,0.005503812696862373
Full_FrameAux03,liaoning,3407,external,0.5138651146867511,0.34687324989632373,-0.08213079764993551,0.5114503816793893,0.9710144927536232,0.007874015748031496,196,11.997947065803606,0.2501938404376004,0.006093031979472774
Full_FrameAux03,liaoning,114514,val,0.7894736842105263,0.8682918414709893,0.15737789507292677,0.6511627906976745,0.7368421052631579,0.4117647058823529,36,11.998500783803909,0.2578213265234674,0.005002039314506444
Full_FrameAux03,liaoning,114514,external,0.5558598653429191,0.3765208886485085,0.15537668877729297,0.5235602094240838,0.7246376811594203,0.4330708661417323,196,11.99830424182116,0.2610855131175648,0.0054914756870801705
Full_FrameAux03,xiangya,42,val,0.6666666666666666,0.5623859621675025,0.0,0.5263157894736842,1.0,0.0,56,11.997570809352968,0.2653005237558058,0.006762277514859728
Full_FrameAux03,xiangya,42,external,0.6144278606965173,0.7897868873852971,0.0,0.8170731707317073,1.0,0.0,97,11.996829100812132,0.26857004811366403,0.0075852673205948195
Full_FrameAux03,xiangya,123,val,0.6791666666666666,0.5547150485194452,0.16789392295386976,0.5423728813559322,0.8,0.3611111111111111,56,11.99868712088647,0.23955080711415835,0.004564920142036471
Full_FrameAux03,xiangya,123,external,0.47562189054726367,0.6797879942643406,0.14663652768813604,0.8176100628930818,0.9701492537313433,0.1,97,11.997705637340355,0.24335856245401796,0.006105950986235321
Full_FrameAux03,xiangya,2024,val,0.6402777777777777,0.45524341510799593,0.14344382763731175,0.5405405405405406,1.0,0.05555555555555555,56,11.99748900620477,0.2574478023286377,0.006382833222302474
Full_FrameAux03,xiangya,2024,external,0.3975124378109452,0.6147579009820112,0.0,0.8170731707317073,1.0,0.0,97,11.99759242635288,0.2576895583664224,0.00658758422886306
Full_FrameAux03,xiangya,3407,val,0.6777777777777777,0.4938105243459187,0.27359422722270776,0.5862068965517241,0.85,0.4166666666666667,56,11.997206409712671,0.22618651476555635,0.006038604489971992
Full_FrameAux03,xiangya,3407,external,0.4472636815920398,0.6664773646391078,0.01336391441326061,0.7974683544303798,0.9402985074626866,0.06666666666666667,97,11.997071963787683,0.22630616858652772,0.006797802999748816
Full_FrameAux03,xiangya,114514,val,0.648611111111111,0.45134865557829684,0.0,0.5263157894736842,1.0,0.0,56,11.998264791544743,0.25568123368014184,0.005467954307633049
Full_FrameAux03,xiangya,114514,external,0.35422885572139307,0.625418955070705,0.0,0.8170731707317073,1.0,0.0,97,11.99803101952907,0.25480918092109084,0.0056435084116711
